Year,ICD10_Code,ICD10_Description,Classification,Metric_Primary,Metric_Secondary,Value
2010/11,F10.3,Withdrawal state,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,14470
2010/11,F10.4,Withdrawal state with delirium,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,870
2010/11,F10.5,Psychotic disorder,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,330
2010/11,F10.6,Amnesic syndrome,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,280
2010/11,F10.7,Residual and late-onset psychotic disorder,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,150
2010/11,F10.8,Other mental and behavioural disorders due to the use of alcohol,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,40
2010/11,F10.9,Unspecified mental and behavioural disorders due to the use of alcohol,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,330
2010/11,K70.0,Alcoholic fatty liver,Narrow,Alcoholic liver disease,Wholly attributable,240
2010/11,K70.1,Alcoholic hepatitis,Narrow,Alcoholic liver disease,Wholly attributable,1730
2010/11,K70.2,Alcoholic fibrosis and sclerosis of liver,Narrow,Alcoholic liver disease,Wholly attributable,70
2010/11,K70.3,Alcoholic cirrhosis of liver,Narrow,Alcoholic liver disease,Wholly attributable,6310
2010/11,K70.4,Alcoholic hepatic failure,Narrow,Alcoholic liver disease,Wholly attributable,1880
2010/11,K70.9,"Alcoholic liver disease, unspecified",Narrow,Alcoholic liver disease,Wholly attributable,5460
2010/11,T51.0,Ethanol poisoning,Narrow,Toxic effect of alcohol,Wholly attributable,950
2010/11,T51.1,Methanol poisoning,Narrow,Toxic effect of alcohol,Wholly attributable,30
2010/11,T51.9,"Toxic effect of alcohol, unspecified",Narrow,Toxic effect of alcohol,Wholly attributable,230
2010/11,E24.4,Alcohol-induced pseudo-Cushing?s syndrome,Narrow,Other,Wholly attributable,0
2010/11,G31.2,Degeneration of nervous system due to alcohol,Narrow,Other,Wholly attributable,300
2010/11,G62.1,Alcoholic polyneuropathy,Narrow,Other,Wholly attributable,130
2010/11,G72.1,Alcoholic myopathy,Narrow,Other,Wholly attributable,30
2010/11,I42.6,Alcoholic cardiomyopathy,Narrow,Other,Wholly attributable,170
2010/11,K29.2,Alcoholic gastritis,Narrow,Other,Wholly attributable,1730
2010/11,K85.2,Alcohol-induced acute pancreatitis,Narrow,Other,Wholly attributable,-
2010/11,K86.0,Alcohol-induced chronic pancreatitis,Narrow,Other,Wholly attributable,3270
2010/11,Q86.0,Fetal alcohol syndrome (dysmorphic),Narrow,Other,Wholly attributable,10
2010/11,R78.0,Excess alcohol blood levels,Narrow,Other,Wholly attributable,10
2010/11,X45,Accidental poisoning by and exposure to alcohol,Narrow,Other,Wholly attributable,2800
2010/11,X65,Intentional self-poisoning by and exposure to alcohol,Narrow,Other,Wholly attributable,31550
2010/11,Y15,"Poisoning by and exposure to alcohol, undetermined intent",Narrow,Other,Wholly attributable,110
2010/11,Y90,Evidence of alcohol involvement determined by blood alcohol level,Narrow,Other,Wholly attributable,370
2010/11,Y91,Evidence of alcohol involvement determined by level of intoxication,Narrow,Other,Wholly attributable,1040
2010/11,A15-A19,Tuberculosis,Narrow,Infectious and parasitic diseases,Partly attributable chronic,1020
2010/11,C00-C14,"Lip, oral cavity and pharynx",Narrow,Cancer,Partly attributable chronic,8350
2010/11,C15,Oesophagus,Narrow,Cancer,Partly attributable chronic,16280
2010/11,"C18-C20, C21",Colorectal,Narrow,Cancer,Partly attributable chronic,20350
2010/11,C22,Liver and intrahepatic bile ducts,Narrow,Cancer,Partly attributable chronic,1190
2010/11,C32,Larynx,Narrow,Cancer,Partly attributable chronic,1680
2010/11,C50,Breast,Narrow,Cancer,Partly attributable chronic,24220
2010/11,G40-G41,Epilepsy and Status epilepticus,Narrow,Diseases of the nervous system,Partly attributable chronic,9510
2010/11,I10-I15,Hypertensive diseases,Narrow,Cardiovascular disease,Partly attributable chronic,7840
2010/11,I47-I48,Cardiac arrhythmias,Narrow,Cardiovascular disease,Partly attributable chronic,14940
2010/11,"I60-I62, I69.0-I69.2",Haemorrhagic stroke,Narrow,Cardiovascular disease,Partly attributable chronic,2470
2010/11,"I63-I66, I69.3-I69.4",Ischaemic stroke,Narrow,Cardiovascular disease,Partly attributable chronic,250
2010/11,I85,Oesophageal varices,Narrow,Cardiovascular disease,Partly attributable chronic,3140
2010/11,"J10-J11(.0), J12-J15, J18",Pneumonia,Narrow,Respiratory infections,Partly attributable chronic,12480
2010/11,"K73, K74",Unspecified liver disease,Narrow,Digestive disease,Partly attributable chronic,2460
2010/11,"K85, K86.1",Acute and chronic pancreatitis,Narrow,Digestive disease,Partly attributable chronic,1180
2010/11,O03,Spontaneous abortion,Narrow,Pregnancy and childbirth,Partly attributable chronic,3720
2010/11,P05-P07,Low birth weight,Narrow,Pregnancy and childbirth,Partly attributable chronic,2510
2010/11,?,Road/Ped traffic accidents,Narrow,Unintentional injuries,Partly attributable acute,5750
2010/11,X40?X49,Poisoning,Narrow,Unintentional injuries,Partly attributable acute,1710
2010/11,W00-W19,Fall injuries,Narrow,Unintentional injuries,Partly attributable acute,24040
2010/11,X00-X09,Fire injuries,Narrow,Unintentional injuries,Partly attributable acute,230
2010/11,W65-W74,Drowning,Narrow,Unintentional injuries,Partly attributable acute,20
2010/11,??,Other unintentional injuries,Narrow,Intentional injuries,Partly attributable acute,44250
2010/11,"X60-X84, Y87.0 (excl X65)",Intentional self-harm,Narrow,Intentional injuries,Partly attributable acute,7830
2010/11,"Y10-Y34, Y87.2",Event of undetermined intent,Narrow,Intentional injuries,Partly attributable acute,290
2010/11,"X85-Y09, Y87.1",Assault,Narrow,Intentional injuries,Partly attributable acute,5580
2009/10,F10.0,Acute intoxication,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,18260
2009/10,F10.1,Harmful use,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,2850
2009/10,F10.2,Dependence syndrome,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,9180
2009/10,F10.3,Withdrawal state,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,14560
2009/10,F10.4,Withdrawal state with delirium,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,940
2009/10,F10.5,Psychotic disorder,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,370
2009/10,F10.6,Amnesic syndrome,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,260
2009/10,F10.7,Residual and late-onset psychotic disorder,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,140
2009/10,F10.8,Other mental and behavioural disorders due to the use of alcohol,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,40
2009/10,F10.9,Unspecified mental and behavioural disorders due to the use of alcohol,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,300
2009/10,K70.0,Alcoholic fatty liver,Narrow,Alcoholic liver disease,Wholly attributable,250
2009/10,K70.1,Alcoholic hepatitis,Narrow,Alcoholic liver disease,Wholly attributable,1600
2009/10,K70.2,Alcoholic fibrosis and sclerosis of liver,Narrow,Alcoholic liver disease,Wholly attributable,60
2009/10,K70.3,Alcoholic cirrhosis of liver,Narrow,Alcoholic liver disease,Wholly attributable,5660
2009/10,K70.4,Alcoholic hepatic failure,Narrow,Alcoholic liver disease,Wholly attributable,1630
2009/10,K70.9,"Alcoholic liver disease, unspecified",Narrow,Alcoholic liver disease,Wholly attributable,5550
2009/10,T51.0,Ethanol poisoning,Narrow,Toxic effect of alcohol,Wholly attributable,880
2009/10,T51.1,Methanol poisoning,Narrow,Toxic effect of alcohol,Wholly attributable,30
2009/10,T51.9,"Toxic effect of alcohol, unspecified",Narrow,Toxic effect of alcohol,Wholly attributable,240
2009/10,E24.4,Alcohol-induced pseudo-Cushing?s syndrome,Narrow,Other,Wholly attributable,0
2009/10,G31.2,Degeneration of nervous system due to alcohol,Narrow,Other,Wholly attributable,310
2009/10,G62.1,Alcoholic polyneuropathy,Narrow,Other,Wholly attributable,110
2009/10,G72.1,Alcoholic myopathy,Narrow,Other,Wholly attributable,30
2009/10,I42.6,Alcoholic cardiomyopathy,Narrow,Other,Wholly attributable,160
2009/10,K29.2,Alcoholic gastritis,Narrow,Other,Wholly attributable,1610
2009/10,K85.2,Alcohol-induced acute pancreatitis,Narrow,Other,Wholly attributable,-
2009/10,K86.0,Alcohol-induced chronic pancreatitis,Narrow,Other,Wholly attributable,3330
2009/10,Q86.0,Fetal alcohol syndrome (dysmorphic),Narrow,Other,Wholly attributable,10
2009/10,R78.0,Excess alcohol blood levels,Narrow,Other,Wholly attributable,20
2009/10,X45,Accidental poisoning by and exposure to alcohol,Narrow,Other,Wholly attributable,2880
2009/10,X65,Intentional self-poisoning by and exposure to alcohol,Narrow,Other,Wholly attributable,28950
2009/10,Y15,"Poisoning by and exposure to alcohol, undetermined intent",Narrow,Other,Wholly attributable,120
2009/10,Y90,Evidence of alcohol involvement determined by blood alcohol level,Narrow,Other,Wholly attributable,290
2009/10,Y91,Evidence of alcohol involvement determined by level of intoxication,Narrow,Other,Wholly attributable,1250
2009/10,A15-A19,Tuberculosis,Narrow,Infectious and parasitic diseases,Partly attributable chronic,920
2009/10,C00-C14,"Lip, oral cavity and pharynx",Narrow,Cancer,Partly attributable chronic,7920
2009/10,C15,Oesophagus,Narrow,Cancer,Partly attributable chronic,16910
2009/10,"C18-C20, C21",Colorectal,Narrow,Cancer,Partly attributable chronic,20290
2009/10,C22,Liver and intrahepatic bile ducts,Narrow,Cancer,Partly attributable chronic,1060
2009/10,C32,Larynx,Narrow,Cancer,Partly attributable chronic,1660
2009/10,C50,Breast,Narrow,Cancer,Partly attributable chronic,23660
2009/10,G40-G41,Epilepsy and Status epilepticus,Narrow,Diseases of the nervous system,Partly attributable chronic,9330
2009/10,I10-I15,Hypertensive diseases,Narrow,Cardiovascular disease,Partly attributable chronic,7020
2009/10,I47-I48,Cardiac arrhythmias,Narrow,Cardiovascular disease,Partly attributable chronic,14580
2009/10,"I60-I62, I69.0-I69.2",Haemorrhagic stroke,Narrow,Cardiovascular disease,Partly attributable chronic,2390
2009/10,"I63-I66, I69.3-I69.4",Ischaemic stroke,Narrow,Cardiovascular disease,Partly attributable chronic,230
2009/10,I85,Oesophageal varices,Narrow,Cardiovascular disease,Partly attributable chronic,3070
2009/10,"J10-J11(.0), J12-J15, J18",Pneumonia,Narrow,Respiratory infections,Partly attributable chronic,10630
2009/10,"K73, K74",Unspecified liver disease,Narrow,Digestive disease,Partly attributable chronic,2030
2009/10,"K85, K86.1",Acute and chronic pancreatitis,Narrow,Digestive disease,Partly attributable chronic,1180
2009/10,O03,Spontaneous abortion,Narrow,Pregnancy and childbirth,Partly attributable chronic,3940
2009/10,P05-P07,Low birth weight,Narrow,Pregnancy and childbirth,Partly attributable chronic,2560
2009/10,?,Road/Ped traffic accidents,Narrow,Unintentional injuries,Partly attributable acute,6190
2009/10,X40?X49,Poisoning,Narrow,Unintentional injuries,Partly attributable acute,1710
2009/10,W00-W19,Fall injuries,Narrow,Unintentional injuries,Partly attributable acute,23610
2009/10,X00-X09,Fire injuries,Narrow,Unintentional injuries,Partly attributable acute,240
2009/10,W65-W74,Drowning,Narrow,Unintentional injuries,Partly attributable acute,20
2009/10,??,Other unintentional injuries,Narrow,Intentional injuries,Partly attributable acute,42140
2009/10,"X60-X84, Y87.0 (excl X65)",Intentional self-harm,Narrow,Intentional injuries,Partly attributable acute,7380
2009/10,"Y10-Y34, Y87.2",Event of undetermined intent,Narrow,Intentional injuries,Partly attributable acute,300
2009/10,"X85-Y09, Y87.1",Assault,Narrow,Intentional injuries,Partly attributable acute,5750
2008/09,F10.0,Acute intoxication,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,16040
2008/09,F10.1,Harmful use,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,2860
2008/09,F10.2,Dependence syndrome,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,8260
2008/09,F10.3,Withdrawal state,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,13280
2008/09,F10.4,Withdrawal state with delirium,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,960
2008/09,F10.5,Psychotic disorder,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,330
2008/09,F10.6,Amnesic syndrome,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,260
2008/09,F10.7,Residual and late-onset psychotic disorder,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,140
2008/09,F10.8,Other mental and behavioural disorders due to the use of alcohol,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,40
2008/09,F10.9,Unspecified mental and behavioural disorders due to the use of alcohol,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,360
2008/09,K70.0,Alcoholic fatty liver,Narrow,Alcoholic liver disease,Wholly attributable,220
2008/09,K70.1,Alcoholic hepatitis,Narrow,Alcoholic liver disease,Wholly attributable,1510
2008/09,K70.2,Alcoholic fibrosis and sclerosis of liver,Narrow,Alcoholic liver disease,Wholly attributable,50
2008/09,K70.3,Alcoholic cirrhosis of liver,Narrow,Alcoholic liver disease,Wholly attributable,4930
2008/09,K70.4,Alcoholic hepatic failure,Narrow,Alcoholic liver disease,Wholly attributable,1380
2008/09,K70.9,"Alcoholic liver disease, unspecified",Narrow,Alcoholic liver disease,Wholly attributable,6110
2008/09,T51.0,Ethanol poisoning,Narrow,Toxic effect of alcohol,Wholly attributable,980
2008/09,T51.1,Methanol poisoning,Narrow,Toxic effect of alcohol,Wholly attributable,20
2008/09,T51.9,"Toxic effect of alcohol, unspecified",Narrow,Toxic effect of alcohol,Wholly attributable,390
2008/09,E24.4,Alcohol-induced pseudo-Cushing?s syndrome,Narrow,Other,Wholly attributable,0
2008/09,G31.2,Degeneration of nervous system due to alcohol,Narrow,Other,Wholly attributable,240
2008/09,G62.1,Alcoholic polyneuropathy,Narrow,Other,Wholly attributable,140
2008/09,G72.1,Alcoholic myopathy,Narrow,Other,Wholly attributable,20
2008/09,I42.6,Alcoholic cardiomyopathy,Narrow,Other,Wholly attributable,180
2008/09,K29.2,Alcoholic gastritis,Narrow,Other,Wholly attributable,1510
2008/09,K85.2,Alcohol-induced acute pancreatitis,Narrow,Other,Wholly attributable,-
2008/09,K86.0,Alcohol-induced chronic pancreatitis,Narrow,Other,Wholly attributable,3150
2008/09,Q86.0,Fetal alcohol syndrome (dysmorphic),Narrow,Other,Wholly attributable,20
2008/09,R78.0,Excess alcohol blood levels,Narrow,Other,Wholly attributable,20
2008/09,X45,Accidental poisoning by and exposure to alcohol,Narrow,Other,Wholly attributable,2750
2008/09,X65,Intentional self-poisoning by and exposure to alcohol,Narrow,Other,Wholly attributable,26870
2008/09,Y15,"Poisoning by and exposure to alcohol, undetermined intent",Narrow,Other,Wholly attributable,120
2008/09,Y90,Evidence of alcohol involvement determined by blood alcohol level,Narrow,Other,Wholly attributable,220
2008/09,Y91,Evidence of alcohol involvement determined by level of intoxication,Narrow,Other,Wholly attributable,1300
2008/09,A15-A19,Tuberculosis,Narrow,Infectious and parasitic diseases,Partly attributable chronic,970
2008/09,C00-C14,"Lip, oral cavity and pharynx",Narrow,Cancer,Partly attributable chronic,7370
2008/09,C15,Oesophagus,Narrow,Cancer,Partly attributable chronic,18190
2008/09,"C18-C20, C21",Colorectal,Narrow,Cancer,Partly attributable chronic,21000
2008/09,C22,Liver and intrahepatic bile ducts,Narrow,Cancer,Partly attributable chronic,1000
2008/09,C32,Larynx,Narrow,Cancer,Partly attributable chronic,1630
2008/09,C50,Breast,Narrow,Cancer,Partly attributable chronic,22880
2008/09,G40-G41,Epilepsy and Status epilepticus,Narrow,Diseases of the nervous system,Partly attributable chronic,9180
2008/09,I10-I15,Hypertensive diseases,Narrow,Cardiovascular disease,Partly attributable chronic,6310
2008/09,I47-I48,Cardiac arrhythmias,Narrow,Cardiovascular disease,Partly attributable chronic,14080
2008/09,"I60-I62, I69.0-I69.2",Haemorrhagic stroke,Narrow,Cardiovascular disease,Partly attributable chronic,2340
2008/09,"I63-I66, I69.3-I69.4",Ischaemic stroke,Narrow,Cardiovascular disease,Partly attributable chronic,210
2008/09,I85,Oesophageal varices,Narrow,Cardiovascular disease,Partly attributable chronic,3120
2008/09,"J10-J11(.0), J12-J15, J18",Pneumonia,Narrow,Respiratory infections,Partly attributable chronic,10140
2008/09,"K73, K74",Unspecified liver disease,Narrow,Digestive disease,Partly attributable chronic,1930
2008/09,"K85, K86.1",Acute and chronic pancreatitis,Narrow,Digestive disease,Partly attributable chronic,1130
2008/09,O03,Spontaneous abortion,Narrow,Pregnancy and childbirth,Partly attributable chronic,3760
2008/09,P05-P07,Low birth weight,Narrow,Pregnancy and childbirth,Partly attributable chronic,2480
2008/09,?,Road/Ped traffic accidents,Narrow,Unintentional injuries,Partly attributable acute,6110
2008/09,X40?X49,Poisoning,Narrow,Unintentional injuries,Partly attributable acute,1750
2008/09,W00-W19,Fall injuries,Narrow,Unintentional injuries,Partly attributable acute,20860
2008/09,X00-X09,Fire injuries,Narrow,Unintentional injuries,Partly attributable acute,250
2008/09,W65-W74,Drowning,Narrow,Unintentional injuries,Partly attributable acute,20
2008/09,??,Other unintentional injuries,Narrow,Intentional injuries,Partly attributable acute,39220
2008/09,"X60-X84, Y87.0 (excl X65)",Intentional self-harm,Narrow,Intentional injuries,Partly attributable acute,7280
2008/09,"Y10-Y34, Y87.2",Event of undetermined intent,Narrow,Intentional injuries,Partly attributable acute,320
2008/09,"X85-Y09, Y87.1",Assault,Narrow,Intentional injuries,Partly attributable acute,5740
2007/08,F10.0,Acute intoxication,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,15780
2007/08,F10.1,Harmful use,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,2660
2007/08,F10.2,Dependence syndrome,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,8530
2007/08,F10.3,Withdrawal state,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,11810
2007/08,F10.4,Withdrawal state with delirium,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,900
2007/08,F10.5,Psychotic disorder,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,380
2007/08,F10.6,Amnesic syndrome,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,230
2007/08,F10.7,Residual and late-onset psychotic disorder,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,190
2007/08,F10.8,Other mental and behavioural disorders due to the use of alcohol,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,50
2007/08,F10.9,Unspecified mental and behavioural disorders due to the use of alcohol,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,620
2007/08,K70.0,Alcoholic fatty liver,Narrow,Alcoholic liver disease,Wholly attributable,170
2007/08,K70.1,Alcoholic hepatitis,Narrow,Alcoholic liver disease,Wholly attributable,1430
2007/08,K70.2,Alcoholic fibrosis and sclerosis of liver,Narrow,Alcoholic liver disease,Wholly attributable,50
2007/08,K70.3,Alcoholic cirrhosis of liver,Narrow,Alcoholic liver disease,Wholly attributable,4850
2007/08,K70.4,Alcoholic hepatic failure,Narrow,Alcoholic liver disease,Wholly attributable,1150
2007/08,K70.9,"Alcoholic liver disease, unspecified",Narrow,Alcoholic liver disease,Wholly attributable,6690
2007/08,T51.0,Ethanol poisoning,Narrow,Toxic effect of alcohol,Wholly attributable,1140
2007/08,T51.1,Methanol poisoning,Narrow,Toxic effect of alcohol,Wholly attributable,50
2007/08,T51.9,"Toxic effect of alcohol, unspecified",Narrow,Toxic effect of alcohol,Wholly attributable,500
2007/08,E24.4,Alcohol-induced pseudo-Cushing?s syndrome,Narrow,Other,Wholly attributable,0
2007/08,G31.2,Degeneration of nervous system due to alcohol,Narrow,Other,Wholly attributable,300
2007/08,G62.1,Alcoholic polyneuropathy,Narrow,Other,Wholly attributable,110
2007/08,G72.1,Alcoholic myopathy,Narrow,Other,Wholly attributable,30
2007/08,I42.6,Alcoholic cardiomyopathy,Narrow,Other,Wholly attributable,200
2007/08,K29.2,Alcoholic gastritis,Narrow,Other,Wholly attributable,1290
2007/08,K85.2,Alcohol-induced acute pancreatitis,Narrow,Other,Wholly attributable,-
2007/08,K86.0,Alcohol-induced chronic pancreatitis,Narrow,Other,Wholly attributable,3260
2007/08,Q86.0,Fetal alcohol syndrome (dysmorphic),Narrow,Other,Wholly attributable,20
2007/08,R78.0,Excess alcohol blood levels,Narrow,Other,Wholly attributable,30
2007/08,X45,Accidental poisoning by and exposure to alcohol,Narrow,Other,Wholly attributable,2590
2007/08,X65,Intentional self-poisoning by and exposure to alcohol,Narrow,Other,Wholly attributable,24940
2007/08,Y15,"Poisoning by and exposure to alcohol, undetermined intent",Narrow,Other,Wholly attributable,150
2007/08,Y90,Evidence of alcohol involvement determined by blood alcohol level,Narrow,Other,Wholly attributable,180
2007/08,Y91,Evidence of alcohol involvement determined by level of intoxication,Narrow,Other,Wholly attributable,1780
2007/08,A15-A19,Tuberculosis,Narrow,Infectious and parasitic diseases,Partly attributable chronic,1000
2007/08,C00-C14,"Lip, oral cavity and pharynx",Narrow,Cancer,Partly attributable chronic,6690
2007/08,C15,Oesophagus,Narrow,Cancer,Partly attributable chronic,18320
2007/08,"C18-C20, C21",Colorectal,Narrow,Cancer,Partly attributable chronic,20920
2007/08,C22,Liver and intrahepatic bile ducts,Narrow,Cancer,Partly attributable chronic,900
2007/08,C32,Larynx,Narrow,Cancer,Partly attributable chronic,1590
2007/08,C50,Breast,Narrow,Cancer,Partly attributable chronic,22480
2007/08,G40-G41,Epilepsy and Status epilepticus,Narrow,Diseases of the nervous system,Partly attributable chronic,9010
2007/08,I10-I15,Hypertensive diseases,Narrow,Cardiovascular disease,Partly attributable chronic,5500
2007/08,I47-I48,Cardiac arrhythmias,Narrow,Cardiovascular disease,Partly attributable chronic,13770
2007/08,"I60-I62, I69.0-I69.2",Haemorrhagic stroke,Narrow,Cardiovascular disease,Partly attributable chronic,2240
2007/08,"I63-I66, I69.3-I69.4",Ischaemic stroke,Narrow,Cardiovascular disease,Partly attributable chronic,210
2007/08,I85,Oesophageal varices,Narrow,Cardiovascular disease,Partly attributable chronic,2920
2007/08,"J10-J11(.0), J12-J15, J18",Pneumonia,Narrow,Respiratory infections,Partly attributable chronic,8840
2007/08,"K73, K74",Unspecified liver disease,Narrow,Digestive disease,Partly attributable chronic,1970
2007/08,"K85, K86.1",Acute and chronic pancreatitis,Narrow,Digestive disease,Partly attributable chronic,1110
2007/08,O03,Spontaneous abortion,Narrow,Pregnancy and childbirth,Partly attributable chronic,3780
2007/08,P05-P07,Low birth weight,Narrow,Pregnancy and childbirth,Partly attributable chronic,2350
2007/08,?,Road/Ped traffic accidents,Narrow,Unintentional injuries,Partly attributable acute,6720
2007/08,X40?X49,Poisoning,Narrow,Unintentional injuries,Partly attributable acute,1790
2007/08,W00-W19,Fall injuries,Narrow,Unintentional injuries,Partly attributable acute,19130
2007/08,X00-X09,Fire injuries,Narrow,Unintentional injuries,Partly attributable acute,250
2007/08,W65-W74,Drowning,Narrow,Unintentional injuries,Partly attributable acute,20
2007/08,??,Other unintentional injuries,Narrow,Intentional injuries,Partly attributable acute,36800
2007/08,"X60-X84, Y87.0 (excl X65)",Intentional self-harm,Narrow,Intentional injuries,Partly attributable acute,7030
2007/08,"Y10-Y34, Y87.2",Event of undetermined intent,Narrow,Intentional injuries,Partly attributable acute,340
2007/08,"X85-Y09, Y87.1",Assault,Narrow,Intentional injuries,Partly attributable acute,5800
2006/07,F10.0,Acute intoxication,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,15860
2006/07,F10.1,Harmful use,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,2490
2006/07,F10.2,Dependence syndrome,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,8810
2006/07,F10.3,Withdrawal state,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,10740
2006/07,F10.4,Withdrawal state with delirium,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,1130
2006/07,F10.5,Psychotic disorder,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,360
2006/07,F10.6,Amnesic syndrome,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,270
2006/07,F10.7,Residual and late-onset psychotic disorder,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,150
2006/07,F10.8,Other mental and behavioural disorders due to the use of alcohol,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,50
2006/07,F10.9,Unspecified mental and behavioural disorders due to the use of alcohol,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,450
2006/07,K70.0,Alcoholic fatty liver,Narrow,Alcoholic liver disease,Wholly attributable,200
2006/07,K70.1,Alcoholic hepatitis,Narrow,Alcoholic liver disease,Wholly attributable,1420
2006/07,K70.2,Alcoholic fibrosis and sclerosis of liver,Narrow,Alcoholic liver disease,Wholly attributable,90
2006/07,K70.3,Alcoholic cirrhosis of liver,Narrow,Alcoholic liver disease,Wholly attributable,4760
2006/07,K70.4,Alcoholic hepatic failure,Narrow,Alcoholic liver disease,Wholly attributable,1110
2006/07,K70.9,"Alcoholic liver disease, unspecified",Narrow,Alcoholic liver disease,Wholly attributable,6960
2006/07,T51.0,Ethanol poisoning,Narrow,Toxic effect of alcohol,Wholly attributable,890
2006/07,T51.1,Methanol poisoning,Narrow,Toxic effect of alcohol,Wholly attributable,30
2006/07,T51.9,"Toxic effect of alcohol, unspecified",Narrow,Toxic effect of alcohol,Wholly attributable,510
2006/07,E24.4,Alcohol-induced pseudo-Cushing?s syndrome,Narrow,Other,Wholly attributable,-
2006/07,G31.2,Degeneration of nervous system due to alcohol,Narrow,Other,Wholly attributable,310
2006/07,G62.1,Alcoholic polyneuropathy,Narrow,Other,Wholly attributable,110
2006/07,G72.1,Alcoholic myopathy,Narrow,Other,Wholly attributable,40
2006/07,I42.6,Alcoholic cardiomyopathy,Narrow,Other,Wholly attributable,180
2006/07,K29.2,Alcoholic gastritis,Narrow,Other,Wholly attributable,1320
2006/07,K85.2,Alcohol-induced acute pancreatitis,Narrow,Other,Wholly attributable,-
2006/07,K86.0,Alcohol-induced chronic pancreatitis,Narrow,Other,Wholly attributable,3190
2006/07,Q86.0,Fetal alcohol syndrome (dysmorphic),Narrow,Other,Wholly attributable,20
2006/07,R78.0,Excess alcohol blood levels,Narrow,Other,Wholly attributable,30
2006/07,X45,Accidental poisoning by and exposure to alcohol,Narrow,Other,Wholly attributable,2090
2006/07,X65,Intentional self-poisoning by and exposure to alcohol,Narrow,Other,Wholly attributable,21780
2006/07,Y15,"Poisoning by and exposure to alcohol, undetermined intent",Narrow,Other,Wholly attributable,230
2006/07,Y90,Evidence of alcohol involvement determined by blood alcohol level,Narrow,Other,Wholly attributable,220
2006/07,Y91,Evidence of alcohol involvement determined by level of intoxication,Narrow,Other,Wholly attributable,2460
2006/07,A15-A19,Tuberculosis,Narrow,Infectious and parasitic diseases,Partly attributable chronic,1080
2006/07,C00-C14,"Lip, oral cavity and pharynx",Narrow,Cancer,Partly attributable chronic,6340
2006/07,C15,Oesophagus,Narrow,Cancer,Partly attributable chronic,19200
2006/07,"C18-C20, C21",Colorectal,Narrow,Cancer,Partly attributable chronic,21950
2006/07,C22,Liver and intrahepatic bile ducts,Narrow,Cancer,Partly attributable chronic,880
2006/07,C32,Larynx,Narrow,Cancer,Partly attributable chronic,1580
2006/07,C50,Breast,Narrow,Cancer,Partly attributable chronic,21130
